round	well	tile	channel
1	A1	184	CY3
1	A1	184	CY5
1	A1	184	DAPI
1	A1	184	GFP
1	A1	185	AF750
1	A1	185	CY3
1	A1	185	CY5
1	A1	185	DAPI
1	A1	185	GFP
1	A1	186	AF750
1	A1	186	CY3
1	A1	186	CY5
1	A1	186	DAPI
1	A1	186	GFP
1	A1	187	AF750
1	A1	187	CY3
1	A1	187	CY5
1	A1	187	DAPI
1	A1	187	GFP
1	A1	188	AF750
1	A1	188	CY3
1	A1	188	CY5
1	A1	188	DAPI
1	A1	188	GFP
1	A1	189	AF750
1	A1	189	CY3
1	A1	189	CY5
1	A1	189	DAPI
1	A1	189	GFP
1	A1	190	AF750
1	A1	190	CY3
1	A1	190	CY5
1	A1	190	DAPI
1	A1	190	GFP
1	A1	191	AF750
1	A1	191	CY3
1	A1	191	CY5
1	A1	191	DAPI
1	A1	191	GFP
1	A1	192	AF750
1	A1	192	CY3
1	A1	192	CY5
1	A1	192	DAPI
1	A1	192	GFP
1	A1	193	AF750
1	A1	193	CY3
1	A1	193	CY5
1	A1	193	DAPI
1	A1	193	GFP
1	A1	194	AF750
1	A1	194	CY3
1	A1	194	CY5
1	A1	194	DAPI
1	A1	194	GFP
1	A1	195	AF750
1	A1	195	CY3
1	A1	195	CY5
1	A1	195	DAPI
1	A1	195	GFP
1	A1	196	AF750
1	A1	196	CY3
1	A1	196	CY5
1	A1	196	DAPI
1	A1	196	GFP
1	A1	197	AF750
1	A1	197	CY3
1	A1	197	CY5
1	A1	197	DAPI
1	A1	197	GFP
1	A1	198	AF750
1	A1	198	CY3
1	A1	198	CY5
1	A1	198	DAPI
1	A1	198	GFP
1	A1	199	AF750
1	A1	199	CY3
1	A1	199	CY5
1	A1	199	DAPI
1	A1	199	GFP
1	A1	200	AF750
1	A1	200	CY3
1	A1	200	CY5
1	A1	200	DAPI
1	A1	200	GFP
1	A1	201	AF750
1	A1	201	CY3
1	A1	201	CY5
1	A1	201	DAPI
1	A1	201	GFP
1	A1	202	AF750
1	A1	202	CY3
1	A1	202	CY5
1	A1	202	DAPI
1	A1	202	GFP
1	A1	203	AF750
1	A1	203	CY3
1	A1	203	CY5
1	A1	203	DAPI
1	A1	203	GFP
1	A1	204	AF750
1	A1	204	CY3
1	A1	204	CY5
1	A1	204	DAPI
1	A1	204	GFP
1	A1	205	AF750
1	A1	205	CY3
1	A1	205	CY5
1	A1	205	DAPI
1	A1	205	GFP
1	A1	206	AF750
1	A1	206	CY3
1	A1	206	CY5
1	A1	206	DAPI
1	A1	206	GFP
1	A1	207	AF750
1	A1	207	CY3
1	A1	207	CY5
1	A1	207	DAPI
1	A1	207	GFP
1	A1	208	AF750
1	A1	208	CY3
1	A1	208	CY5
1	A1	208	DAPI
1	A1	208	GFP
1	A1	209	AF750
1	A1	209	CY3
1	A1	209	CY5
1	A1	209	DAPI
1	A1	209	GFP
1	A1	210	AF750
1	A1	210	CY3
1	A1	210	CY5
1	A1	210	DAPI
1	A1	210	GFP
1	A1	211	AF750
1	A1	211	CY3
1	A1	211	CY5
1	A1	211	DAPI
1	A1	211	GFP
1	A1	212	AF750
1	A1	212	CY3
1	A1	212	CY5
1	A1	212	DAPI
1	A1	212	GFP
1	A1	213	AF750
1	A1	213	CY3
1	A1	213	CY5
1	A1	213	DAPI
1	A1	213	GFP
1	A1	214	AF750
1	A1	214	CY3
1	A1	214	CY5
1	A1	214	DAPI
1	A1	214	GFP
1	A1	215	AF750
1	A1	215	CY3
1	A1	215	CY5
1	A1	215	DAPI
1	A1	215	GFP
1	A1	216	AF750
1	A1	216	CY3
1	A1	216	CY5
1	A1	216	DAPI
1	A1	216	GFP
1	A1	217	AF750
1	A1	217	CY3
1	A1	217	CY5
1	A1	217	DAPI
1	A1	217	GFP
1	A1	218	AF750
1	A1	218	CY3
1	A1	218	CY5
1	A1	218	DAPI
1	A1	218	GFP
1	A1	219	AF750
1	A1	219	CY3
1	A1	219	CY5
1	A1	219	DAPI
1	A1	219	GFP
1	A1	220	AF750
1	A1	220	CY3
1	A1	220	CY5
1	A1	220	DAPI
1	A1	220	GFP
1	A1	221	AF750
1	A1	221	CY3
1	A1	221	CY5
1	A1	221	DAPI
1	A1	221	GFP
1	A1	222	AF750
1	A1	222	CY3
1	A1	222	CY5
1	A1	222	DAPI
1	A1	222	GFP
1	A1	223	AF750
1	A1	223	CY3
1	A1	223	CY5
1	A1	223	DAPI
1	A1	223	GFP
1	A1	224	AF750
1	A1	224	CY3
1	A1	224	CY5
1	A1	224	DAPI
1	A1	224	GFP
1	A1	225	AF750
1	A1	225	CY3
1	A1	225	CY5
1	A1	225	DAPI
1	A1	225	GFP
1	A1	226	AF750
1	A1	226	CY3
1	A1	226	CY5
1	A1	226	DAPI
1	A1	226	GFP
1	A1	227	AF750
1	A1	227	CY3
1	A1	227	CY5
1	A1	227	DAPI
1	A1	227	GFP
1	A1	228	AF750
1	A1	228	CY3
1	A1	228	CY5
1	A1	228	DAPI
1	A1	228	GFP
1	A1	229	AF750
1	A1	229	CY3
1	A1	229	CY5
1	A1	229	DAPI
1	A1	229	GFP
1	A1	230	AF750
1	A1	230	CY3
1	A1	230	CY5
1	A1	230	DAPI
1	A1	230	GFP
1	A1	231	AF750
1	A1	231	CY3
1	A1	231	CY5
1	A1	231	DAPI
1	A1	231	GFP
1	A1	232	AF750
1	A1	232	CY3
1	A1	232	CY5
1	A1	232	DAPI
1	A1	232	GFP
1	A1	233	AF750
1	A1	233	CY3
1	A1	233	CY5
1	A1	233	DAPI
1	A1	233	GFP
1	A1	234	AF750
1	A1	234	CY3
1	A1	234	CY5
1	A1	234	DAPI
1	A1	234	GFP
1	A1	235	AF750
1	A1	235	CY3
1	A1	235	CY5
1	A1	235	DAPI
1	A1	235	GFP
1	A1	236	AF750
1	A1	236	CY3
1	A1	236	CY5
1	A1	236	DAPI
1	A1	236	GFP
1	A1	237	AF750
1	A1	237	CY3
1	A1	237	CY5
1	A1	237	DAPI
1	A1	237	GFP
1	A1	238	AF750
1	A1	238	CY3
1	A1	238	CY5
1	A1	238	DAPI
1	A1	238	GFP
1	A1	239	AF750
1	A1	239	CY3
1	A1	239	CY5
1	A1	239	DAPI
1	A1	239	GFP
1	A1	240	AF750
1	A1	240	CY3
1	A1	240	CY5
1	A1	240	DAPI
1	A1	240	GFP
1	A1	241	AF750
1	A1	241	CY3
1	A1	241	CY5
1	A1	241	DAPI
1	A1	241	GFP
1	A1	242	AF750
1	A1	242	CY3
1	A1	242	CY5
1	A1	242	DAPI
1	A1	242	GFP
1	A1	243	AF750
1	A1	243	CY3
1	A1	243	CY5
1	A1	243	DAPI
1	A1	243	GFP
1	A1	244	AF750
1	A1	244	CY3
1	A1	244	CY5
1	A1	244	DAPI
1	A1	244	GFP
1	A1	245	AF750
1	A1	245	CY3
1	A1	245	CY5
1	A1	245	DAPI
1	A1	245	GFP
1	A1	246	AF750
1	A1	246	CY3
1	A1	246	CY5
1	A1	246	DAPI
1	A1	246	GFP
1	A1	247	AF750
1	A1	247	CY3
1	A1	247	CY5
1	A1	247	DAPI
1	A1	247	GFP
1	A1	248	AF750
1	A1	248	CY3
1	A1	248	CY5
1	A1	248	DAPI
